epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,62.0865,0.84624,1.22225,1.22741,0.65802,0.65,0.76243,0.47284,1.60545,1.53309,1.36963,2.91983e-05,2.91983e-05,2.91983e-05
44,63.2871,1.07346,0.9859,1.44877,0.65802,0.65,0.76243,0.47284,1.60545,1.53309,1.36963,2.93869e-05,2.93869e-05,2.93869e-05
45,64.5467,0.61345,0.92011,0.99464,0.68361,0.65,0.73496,0.44744,1.61203,1.54568,1.38384,2.9552e-05,2.9552e-05,2.9552e-05
46,65.7239,0.82328,1.00495,1.26607,0.68361,0.65,0.73496,0.44744,1.61203,1.54568,1.38384,2.96935e-05,2.96935e-05,2.96935e-05
47,66.9648,0.8778,1.47073,1.35559,0.73246,0.65,0.73238,0.43911,1.62519,1.5994,1.39017,2.98114e-05,2.98114e-05,2.98114e-05
48,68.1508,0.78716,1.62779,1.17311,0.73246,0.65,0.73238,0.43911,1.62519,1.5994,1.39017,2.99058e-05,2.99058e-05,2.99058e-05
49,69.3876,0.67003,0.71643,1.24323,0.69145,0.65,0.70753,0.41453,1.6266,1.62136,1.39107,2.99766e-05,2.99766e-05,2.99766e-05
50,70.5842,0.79517,0.80919,1.29345,0.69145,0.65,0.70753,0.41453,1.6266,1.62136,1.39107,3.00238e-05,3.00238e-05,3.00238e-05
51,71.8089,0.85478,0.831,1.15356,0.65766,0.67126,0.69868,0.40616,1.61103,1.63393,1.39111,3.00475e-05,3.00475e-05,3.00475e-05
52,73.0865,0.98555,0.98874,1.35144,0.65766,0.67126,0.69868,0.40616,1.61103,1.63393,1.39111,3.00476e-05,3.00476e-05,3.00476e-05
53,74.2771,0.64616,0.69597,1.17574,0.65766,0.67126,0.69868,0.40616,1.61103,1.63393,1.39111,3.00242e-05,3.00242e-05,3.00242e-05
54,75.4907,0.78856,0.91784,1.23294,0.6756,0.671,0.69624,0.40847,1.61054,1.68615,1.40042,2.99772e-05,2.99772e-05,2.99772e-05
55,76.6804,0.80838,0.94684,1.12627,0.6756,0.671,0.69624,0.40847,1.61054,1.68615,1.40042,2.99066e-05,2.99066e-05,2.99066e-05
56,77.8764,1.1282,1.46628,1.59946,0.6756,0.671,0.69624,0.40847,1.61054,1.68615,1.40042,2.98125e-05,2.98125e-05,2.98125e-05
57,79.0966,0.93516,1.48681,1.36996,0.73119,0.5,0.69609,0.41011,1.62664,1.70662,1.40862,2.96948e-05,2.96948e-05,2.96948e-05
58,80.2846,0.86904,1.46737,1.27037,0.73119,0.5,0.69609,0.41011,1.62664,1.70662,1.40862,2.95535e-05,2.95535e-05,2.95535e-05
59,81.4801,0.78683,0.82333,1.15614,0.73119,0.5,0.69609,0.41011,1.62664,1.70662,1.40862,2.93887e-05,2.93887e-05,2.93887e-05
60,82.7426,0.99218,0.78212,1.54115,0.73495,0.5,0.67962,0.39018,1.65514,1.7976,1.42655,2.92003e-05,2.92003e-05,2.92003e-05
61,83.9705,0.63308,0.6851,1.06269,0.73495,0.5,0.67962,0.39018,1.65514,1.7976,1.42655,2.89884e-05,2.89884e-05,2.89884e-05
62,85.2138,0.70744,0.9005,1.04958,0.73495,0.5,0.67962,0.39018,1.65514,1.7976,1.42655,2.87529e-05,2.87529e-05,2.87529e-05
63,86.4904,0.76262,0.82422,1.14798,0.83722,0.488,0.68057,0.37818,1.64816,1.85327,1.42698,2.84938e-05,2.84938e-05,2.84938e-05
64,87.7459,0.62942,0.65493,1.06723,0.83722,0.488,0.68057,0.37818,1.64816,1.85327,1.42698,2.82112e-05,2.82112e-05,2.82112e-05
65,89.0012,0.66978,0.69988,1.22198,0.83722,0.488,0.68057,0.37818,1.64816,1.85327,1.42698,2.7905e-05,2.7905e-05,2.7905e-05
66,90.2939,0.68631,0.91824,1.08178,0.85107,0.47612,0.67906,0.39005,1.66382,1.85742,1.43354,2.75753e-05,2.75753e-05,2.75753e-05
67,91.528,0.7412,1.12857,1.1088,0.85107,0.47612,0.67906,0.39005,1.66382,1.85742,1.43354,2.7222e-05,2.7222e-05,2.7222e-05
68,92.7508,1.05777,1.82015,1.42065,0.85107,0.47612,0.67906,0.39005,1.66382,1.85742,1.43354,2.68451e-05,2.68451e-05,2.68451e-05
69,94.0207,0.62884,1.08464,1.11962,0.8456,0.47571,0.57019,0.29214,1.6636,1.90216,1.4237,2.64447e-05,2.64447e-05,2.64447e-05
70,95.2354,0.98726,0.88435,1.43126,0.8456,0.47571,0.57019,0.29214,1.6636,1.90216,1.4237,2.60207e-05,2.60207e-05,2.60207e-05
71,96.5064,0.94867,1.31481,1.31432,0.8456,0.47571,0.57019,0.29214,1.6636,1.90216,1.4237,2.55731e-05,2.55731e-05,2.55731e-05
72,97.787,0.5964,0.64381,1.07863,0.84819,0.46703,0.5429,0.29389,1.68022,1.92925,1.42896,2.5102e-05,2.5102e-05,2.5102e-05
73,99.2385,0.68698,0.90198,1.04624,0.84819,0.46703,0.5429,0.29389,1.68022,1.92925,1.42896,2.46073e-05,2.46073e-05,2.46073e-05
74,100.52,0.72838,0.59417,1.20692,0.84819,0.46703,0.5429,0.29389,1.68022,1.92925,1.42896,2.40891e-05,2.40891e-05,2.40891e-05
75,101.784,0.72556,0.55248,1.13575,0.84242,0.47539,0.53623,0.28791,1.69226,1.91666,1.42978,2.35472e-05,2.35472e-05,2.35472e-05
76,103.03,0.63439,0.72626,1.128,0.84242,0.47539,0.53623,0.28791,1.69226,1.91666,1.42978,2.29819e-05,2.29819e-05,2.29819e-05
77,104.234,0.67868,0.65959,1.11206,0.84242,0.47539,0.53623,0.28791,1.69226,1.91666,1.42978,2.23929e-05,2.23929e-05,2.23929e-05
78,105.545,0.87309,0.99991,1.18618,0.84155,0.47251,0.54377,0.28302,1.66875,1.93601,1.42444,2.17805e-05,2.17805e-05,2.17805e-05
79,106.786,0.60873,0.81814,1.10561,0.84155,0.47251,0.54377,0.28302,1.66875,1.93601,1.42444,2.11444e-05,2.11444e-05,2.11444e-05
80,107.997,0.69179,0.72163,1.15262,0.84155,0.47251,0.54377,0.28302,1.66875,1.93601,1.42444,2.04848e-05,2.04848e-05,2.04848e-05
81,109.256,0.51787,0.50423,0.97374,0.84395,0.47716,0.53343,0.27889,1.71278,1.9885,1.44837,1.98016e-05,1.98016e-05,1.98016e-05
82,110.477,0.81248,0.68354,1.14429,0.84395,0.47716,0.53343,0.27889,1.71278,1.9885,1.44837,1.90949e-05,1.90949e-05,1.90949e-05
83,111.728,0.78764,0.81523,1.21506,0.84395,0.47716,0.53343,0.27889,1.71278,1.9885,1.44837,1.83646e-05,1.83646e-05,1.83646e-05
84,113,0.78072,0.57423,1.19739,0.84591,0.48105,0.53407,0.28396,1.79398,2.00261,1.48036,1.76107e-05,1.76107e-05,1.76107e-05
85,114.287,0.58484,0.72823,1.11922,0.84591,0.48105,0.53407,0.28396,1.79398,2.00261,1.48036,1.68333e-05,1.68333e-05,1.68333e-05
86,115.522,0.7463,0.66405,1.1004,0.84591,0.48105,0.53407,0.28396,1.79398,2.00261,1.48036,1.60323e-05,1.60323e-05,1.60323e-05
87,116.753,0.75457,0.77694,1.05342,0.84591,0.48105,0.53407,0.28396,1.79398,2.00261,1.48036,1.52077e-05,1.52077e-05,1.52077e-05
88,118.032,0.80492,0.89413,1.38891,0.84657,0.4774,0.52468,0.27965,1.79448,2.01962,1.48269,1.43596e-05,1.43596e-05,1.43596e-05
89,119.26,0.96924,0.993,1.46375,0.84657,0.4774,0.52468,0.27965,1.79448,2.01962,1.48269,1.34879e-05,1.34879e-05,1.34879e-05
90,120.513,0.69441,0.6172,1.04286,0.84657,0.4774,0.52468,0.27965,1.79448,2.01962,1.48269,1.25927e-05,1.25927e-05,1.25927e-05
91,121.828,0.47108,0.5282,0.89202,0.84657,0.4774,0.52468,0.27965,1.79448,2.01962,1.48269,1.16739e-05,1.16739e-05,1.16739e-05
92,123.071,0.71113,0.70618,0.99498,0.83381,0.4862,0.53404,0.28793,1.77823,1.94498,1.45962,1.07315e-05,1.07315e-05,1.07315e-05
93,124.361,0.47131,0.45512,0.9786,0.83381,0.4862,0.53404,0.28793,1.77823,1.94498,1.45962,9.76562e-06,9.76562e-06,9.76562e-06
94,125.567,0.53887,0.45282,0.88169,0.83381,0.4862,0.53404,0.28793,1.77823,1.94498,1.45962,8.77613e-06,8.77613e-06,8.77613e-06
95,126.784,0.44995,0.45817,0.902,0.83381,0.4862,0.53404,0.28793,1.77823,1.94498,1.45962,7.76308e-06,7.76308e-06,7.76308e-06
96,128.027,0.43995,0.51247,0.96151,0.83744,0.47162,0.55847,0.30536,1.74347,1.88226,1.44064,6.72648e-06,6.72648e-06,6.72648e-06
97,129.275,0.67683,0.63717,1.02214,0.83744,0.47162,0.55847,0.30536,1.74347,1.88226,1.44064,5.6663e-06,5.6663e-06,5.6663e-06
98,130.493,0.52378,0.49263,0.9136,0.83744,0.47162,0.55847,0.30536,1.74347,1.88226,1.44064,4.58257e-06,4.58257e-06,4.58257e-06
99,131.723,0.47742,0.47806,0.91087,0.83744,0.47162,0.55847,0.30536,1.74347,1.88226,1.44064,3.47528e-06,3.47528e-06,3.47528e-06
100,132.985,0.56195,0.50199,0.99728,0.82636,0.46667,0.60876,0.36574,1.69632,1.79023,1.42273,2.34442e-06,2.34442e-06,2.34442e-06
